sample_id,species_true,n_rows,n_correct,n_incorrect,incorrect_rate,most_common_wrong_pred,n_incorrect_to_most_common,mean_conf_to_most_common,mean_conf_overall,err_by_shot_1,err_by_shot_3,err_by_shot_5,err_by_shot_10,err_by_shot_25,err_by_shot_35,sex,life_stage,attached,dorsal_image_path,ventral_image_path
303-01,Dermacentor variabilis,577,516,61,0.10571923743500866,Haemaphysalis longicornis,41,0.22661655442128184,0.5001642781265365,0.39,0.16,0.06,0.0,0.0,0.0,Male,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/303-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/303-01-02.jpg
GLN-0087-02,Dermacentor variabilis,579,518,61,0.10535405872193437,Haemaphysalis longicornis,52,0.24370750590051776,0.5783810856454058,0.44329896907216493,0.12121212121212122,0.06,0.0,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/GLN-0087-02-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/GLN-0087-02-02.jpg
494-01,Dermacentor variabilis,575,515,60,0.10434782608695652,Haemaphysalis longicornis,33,0.2677993799291679,0.5386270650489038,0.35,0.17,0.061855670103092786,0.020618556701030927,0.0,0.0,Male,Adult,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/494-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/494-01-02.jpg
479-01,Dermacentor variabilis,571,512,59,0.10332749562171628,Haemaphysalis longicornis,33,0.25101600999634177,0.5401667879068919,0.33,0.1919191919191919,0.041237113402061855,0.03225806451612903,0.0,0.0,Female,Adult,"Yes, 24+ hours",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/479-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/479-01-02.jpg
66-02,Dermacentor variabilis,574,515,59,0.10278745644599303,Haemaphysalis longicornis,41,0.23716826365248778,0.5338162062399103,0.36,0.16161616161616163,0.06,0.010416666666666666,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/66-02-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/66-02-2.jpg
519-01,Dermacentor variabilis,575,516,59,0.10260869565217391,Haemaphysalis longicornis,27,0.2558674717964231,0.543321517630937,0.32,0.18181818181818182,0.05,0.0425531914893617,0.0,0.0,Female,Adult,"Yes, 24+ hours",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/519-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/519-01-02.jpg
43-08,Dermacentor variabilis,566,508,58,0.10247349823321555,Ixodes scapularis,19,0.2261016750324605,0.5416807934690979,0.35,0.1414141414141414,0.07526881720430108,0.020618556701030927,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/43-08-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/43-08-2.jpg
485-01,Dermacentor variabilis,562,505,57,0.10142348754448399,Haemaphysalis longicornis,29,0.21458606240273836,0.5145366926798187,0.37,0.15151515151515152,0.04081632653061224,0.010309278350515464,0.0,0.0,Female,Adult,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/485-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/485-01-02.jpg
ZOE-0082-04,Dermacentor variabilis,572,514,58,0.10139860139860139,Ixodes scapularis,22,0.2507716960506576,0.4384884416477321,0.23,0.17,0.13131313131313133,0.021052631578947368,0.03260869565217391,0.0,Male,Adult,Yes,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0082-04-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0082-04-02.jpg
189-01,Dermacentor variabilis,582,523,59,0.1013745704467354,Haemaphysalis longicornis,25,0.23690976133920358,0.5126362785204698,0.37,0.18,0.02040816326530612,0.010309278350515464,0.010526315789473684,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/189-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/189-01-02.jpg
