sample_id,species,sex,life_stage,attached,pathogen,pathogen_result,tick_condition,dim1,dim2
ZOE-0014-06,Ixodes scapularis,Female,Adult,Yes,None,negative,Fed,-1.3895915,20.167957
ZOE-0014-07,Ixodes scapularis,Female,Adult,No,None,negative,Fed,5.7757773,36.886913
ZOE-0014-08,Amblyomma americanum,Unknown,Nymph,Yes,Rickettsia amblyommatis,Positive,Fed,9.92803,-25.181917
ZOE-0014-09,Amblyomma americanum,Male,Adult,Yes,Rickettsia amblyommatis,Positive,Fed,9.820387,-21.816368
ZOE-0014-11,Amblyomma americanum,Male,Adult,No,Rickettsia amblyommatis,Positive,Fed,10.427049,-22.112722
ZOE-0014-12,Amblyomma americanum,Female,Adult,Yes,Rickettsia amblyommatis,Positive,Fed,10.104963,-23.582506
ZOE-0014-13,Amblyomma americanum,Female,Adult,Yes,None,negative,Fed,13.757131,-7.646653
ZOE-0014-14,Amblyomma americanum,Male,Adult,No,None,negative,Fed,8.636861,-22.551178
ZOE-0014-15,Amblyomma americanum,Male,Adult,Yes,None,negative,Fed,11.063626,-21.913824
ZOE-0014-16,Dermacentor variabilis,Male,Adult,No,None,negative,Fed,-17.988441,-15.929045
ZOE-0014-17,Amblyomma americanum,Male,Adult,Yes,None,negative,Fed,10.596979,-21.826359
